DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	2q12.1	2	103683406		CAPZBP1 - LINC01965	ENSG00000231723	ENSG00000256637		59576	190830	rs113696815-A	rs113696815	0	113696815	intergenic_variant	1	0.45	3E-8	7.522878745280337				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls	NA	16p11.2	16	30936251		FBXL19			ENSG00000099364			rs7200879-G	rs7200879	0	7200879	intron_variant	0	0.22	4E-8	7.3979400086720375				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246334	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	30,283 African ancestry cases, 90,835 African ancestry controls	NA	4q31.3	4	151697981		GATB			ENSG00000059691			rs182921948-G	rs182921948	0	182921948	intron_variant	0	0.28	9E-9	8.045757490560675				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246335	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	13,230 Hispanic cases, 38,378 Hispanic controls	NA	4q28.3	4	135131550		LINC02485 - U6	ENSG00000248456	ENSG00000283290		7771	183868	rs116015815-T	rs116015815	0	116015815	intergenic_variant	1	0.01	3E-9	8.522878745280337				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246336	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	6q25.1	6	151880066		ESR1			ENSG00000091831			rs6557168-T	rs6557168	0	6557168	intron_variant	0	0.55	3E-12	11.522878745280337				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	16p11.2	16	30924760		FBXL19			ENSG00000099364			rs35675346-A	rs35675346	0	35675346	missense_variant	0	0.25	3E-10	9.522878745280337				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	11q23.2	11	113424276		DRD2			ENSG00000149295			rs12808482-A	rs12808482	0	12808482	intron_variant	0	0.5	3E-10	9.522878745280337				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	9q34.3	9	137371330		EXD3			ENSG00000187609			rs77641763-T	rs77641763	0	77641763	intron_variant	0	0.09	2E-9	8.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	14q32.32	14	102904810		TRAF3			ENSG00000131323			rs36006172-CAA	rs36006172	0	36006172	intron_variant	0	0.75	9E-9	8.045757490560675				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	18q21.2	18	53351444		DCC			ENSG00000187323			rs10671545-G	rs10671545	0	10671545	intron_variant	0	0.66	1E-8	8.0				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-02-23	36515925	Kimbrel NA	2022-12-14	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36515925	Identification of Novel, Replicable Genetic Risk Loci for Suicidal Thoughts and Behaviors Among US Military Veterans.	Suicidal thoughts and behaviors	75,941 European ancestry cases, 376,826 European ancestry controls, 30,283 African ancestry cases, 90,835 African ancestry controls, 13,230 Hispanic cases, 38,378 Hispanic controls, 1,757 Asian ancestry cases, 6,528 Asian ancestry controls	NA	2q12.1	2	103651035		CAPZBP1 - LINC01965	ENSG00000231723	ENSG00000256637		27205	223201	rs142785607-T	rs142785607	0	142785607	intergenic_variant	1	0.51	2E-8	7.698970004336019				NR [NR] (imputed)	N	suicidal ideation, suicide behaviour	http://www.ebi.ac.uk/efo/EFO_0004320, http://www.ebi.ac.uk/efo/EFO_0007623	GCST90246333	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	8q24.23	8	136908406		LINC02055			ENSG00000254101			rs118037400-G	rs118037400	0	118037400	intron_variant	0	0.949	2E-6	5.698970004336019		0.92811	[0.9-0.96]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	14q21.3	14	48069114		LINC00648 - RNU6-297P	ENSG00000259129	ENSG00000207366		273812	272112	rs1402514-A	rs1402514	0	1402514	intergenic_variant	1	0.625	1E-6	6.0		1.03469	[1.02-1.05]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	4p15.1	4	34608126		LINC02484 - SEC63P2	ENSG00000248685	ENSG00000250416		272775	879686	rs35235084-?	rs35235084	0	35235084	intergenic_variant	1	0.663	4E-6	5.3979400086720375		0.96089	[0.94-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	11p15.4	11	10609700		IRAG1, LYVE1			ENSG00000072952, ENSG00000133800			rs3741042-C	rs3741042	0	3741042	intron_variant	0	0.501	3E-6	5.522878745280337		0.96696	[0.95-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	5p14.3	5	21613829		GUSBP1 - CDH12	ENSG00000291102	ENSG00000154162		24457	136844	rs5866516-?	rs5866516	0	5866516	intergenic_variant	1	0.681	1E-6	6.0		0.95868	[0.94-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	8q24.21	8	127858451		PVT1			ENSG00000249859			rs59128799-?	rs59128799	0	59128799	intron_variant	0	0.556	2E-6	5.698970004336019		0.95925	[0.94-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	15q11.2	15	24832363		SNRPN			ENSG00000128739			rs61994674-G	rs61994674	0	61994674	intron_variant	0	0.807	2E-6	5.698970004336019		1.04802	[1.03-1.07]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	4q28.1	4	125969849		TMEM248P1 - LINC02379	ENSG00000249555	ENSG00000251649		245632	94279	rs62314109-T	rs62314109	0	62314109	intron_variant	1	0.529	4E-6	5.3979400086720375		0.97006	[0.96-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	3q26.31	3	173894411		NLGN1			ENSG00000169760			rs73182688-A	rs73182688	0	73182688	intron_variant	0	0.863	5E-8	7.301029995663981		1.06855	[1.04-1.09]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	1q41	1	220891420		HLX - LINC02817	ENSG00000136630	ENSG00000234754		6361	438660	rs7545525-G	rs7545525	0	7545525	intergenic_variant	1	0.943	5E-6	5.301029995663981		0.92441	[0.89-0.96]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	15q26.1	15	90035960		ZNF710			ENSG00000140548			rs8041188-G	rs8041188	0	8041188	intron_variant	0	0.78	5E-6	5.301029995663981		0.94781	[0.92-0.97]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	6q25.1	6	151847399		ESR1			ENSG00000091831			rs9479131-C	rs9479131	0	9479131	intron_variant	0	0.981	2E-6	5.698970004336019		0.85104	[0.78-0.92]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2023-01-18	36253440	Li QS	2022-10-17	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/36253440	Genome-wide association study meta-analysis of suicide death and suicidal behavior.	Suicide	3,765 European ancestry cases, 6,572 European ancestry controls	NA	15q26.1	15	92515295		C15orf32 - LINC00930	ENSG00000183643	ENSG00000258647		14178	52522	rs9672835-G	rs9672835	0	9672835	intergenic_variant	1	0.677	5E-7	6.301029995663981		0.96012	[0.94-0.98]	Illumina [NR] (imputed)	N	suicide	http://www.ebi.ac.uk/efo/EFO_0007624	GCST90244688	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	3p22.3	3	33747572	NR	CLASP2 - SDAD1P3	ENSG00000163539	ENSG00000227707		29216	24391	rs115836059-C	rs115836059	0	115836059	regulatory_region_variant	1	NR	5E-6	5.301029995663981		1.523	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	4p13	4	42220897	NR	BEND4 - SHISA3	ENSG00000188848	ENSG00000178343		68019	176591	rs7693560-A	rs7693560	0	7693560	intron_variant	1	NR	3E-6	5.522878745280337		1.398	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	5q22.1	5	111126341	NR	WDR36			ENSG00000134987			rs11952682-?	rs11952682	0	11952682	intron_variant	0	NR	7E-7	6.154901959985743		2.3798192	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	6q16.1	6	96730931	NR	TYMSP1 - EEF1GP6	ENSG00000219139	ENSG00000216518		76789	19893	rs4839695-G	rs4839695	0	4839695	intergenic_variant	1	NR	2E-6	5.698970004336019		1.531	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	10q22.1	10	71608992	NR	CDH23			ENSG00000107736			rs12773205-?	rs12773205	0	12773205	intron_variant	0	NR	4E-6	5.3979400086720375		1.6949153	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
2020-05-19	31926482	Shen H	2020-01-11	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/31926482	Polygenic prediction and GWAS of depression, PTSD, and suicidal ideation/self-harm in a Peruvian cohort.	Suicidal or self-harm ideation	522 Peruvian cases, 2,882 Peruvian controls	NA	10q26.3	10	132917122	NR	CFAP46			ENSG00000171811			rs10870205-C	rs10870205	0	10870205	intron_variant	0	NR	5E-6	5.301029995663981		1.727	[NR]	NR [NR]	N	suicidal ideation	http://www.ebi.ac.uk/efo/EFO_0004320	GCST009976	Genome-wide genotyping array
